Label,#Samples,timeStamp,(Average) Response Time,Error (in %)
monolith-avg-first,23322,1557923534882,33,0
monolith-avg-last,23322,1557923695747,33,0
failover,1,1557923695747,44,0
failover,1,1557923695760,39,1
failover,1,1557923695762,14,1
failover,1,1557923695765,18,1
failover,1,1557923695771,29,1
failover,1,1557923695807,36,0
failover,1,1557923695811,38,0
failover,1,1557923695821,51,0
failover,1,1557923695833,84,0
failover,1,1557923695834,22,0
failover,1,1557923695840,32,0
failover,1,1557923698761,2988,0
failover,1,1557923698763,2928,0
failover,1,1557923698793,2971,0
failover,1,1557923698864,3030,0
failover,1,1557923698891,3050,0
failover,1,1557923698898,136,0
failover,1,1557923698901,137,0
failover,1,1557923698931,137,0
failover,1,1557923699018,152,0
failover,1,1557923699049,145,0
parachute-avg-first,46092,1557923699062,25,0
parachute-avg-last,46092,1557923943244,25,0
restore,1,1557923943249,22,0
restore,1,1557923943261,19,0
restore,1,1557923943262,21,0
restore,1,1557923943265,20,0
restore,1,1557923943268,18,0
restore,1,1557923943270,6274,0
restore,1,1557923943280,17,0
restore,1,1557923943281,19,0
restore,1,1557923943285,19,0
restore,1,1557923943287,18,0
restore,1,1557923943539,253,0
restore,1,1557923943546,264,0
restore,1,1557923943547,275,0
restore,1,1557923943549,266,0
restore,1,1557923943561,273,0
post-avg-first,12335,1557923943763,44,0
post-avg-last,12335,1557924055634,44,0
