Label,#Samples,timeStamp,(Average) Response Time,Error (in %)
monolith-avg-first,22313,1557922547172,34,0
monolith-avg-last,22313,1557922707861,34,0
failover,1,1557922707874,45,0
failover,1,1557922707886,24,1
failover,1,1557922707889,33,1
failover,1,1557922707890,56,0
failover,1,1557922707888,13,1
failover,1,1557922707897,37,1
failover,1,1557922707930,33,0
failover,1,1557922707932,34,0
failover,1,1557922707933,42,0
failover,1,1557922707956,22,0
failover,1,1557922707957,26,0
failover,1,1557922707960,26,0
failover,1,1557922710739,2842,0
failover,1,1557922710914,173,0
failover,1,1557922710933,2975,0
failover,1,1557922710942,2981,0
failover,1,1557922710948,3050,0
failover,1,1557922710955,2997,0
failover,1,1557922711036,120,0
failover,1,1557922711095,152,0
failover,1,1557922711098,163,0
failover,1,1557922711105,156,0
failover,1,1557922711110,153,0
parachute-avg-first,45291,1557922711155,25,0
parachute-avg-last,45291,1557922954859,25,0
restore,1,1557922954873,18,0
restore,1,1557922954873,33,0
restore,1,1557922954877,21,0
restore,1,1557922954891,31,0
restore,1,1557922954895,21,0
restore,1,1557922954897,5899,0
restore,1,1557922954911,19,0
restore,1,1557922954916,20,0
restore,1,1557922954921,43,0
restore,1,1557922954928,53,0
restore,1,1557922955195,278,0
restore,1,1557922955202,290,0
restore,1,1557922955219,320,0
restore,1,1557922955231,309,0
restore,1,1557922955284,355,0
post-avg-first,12231,1557922955387,44,0
post-avg-last,12231,1557923067793,44,0
