Label,#Samples,timeStamp,(Average) Response Time,Error (in %)
monolith-avg-first,22410,1557925650493,34,0
monolith-avg-last,22410,1557925808577,34,0
failover,1,1557925808584,44,0
failover,1,1557925808601,25,1
failover,1,1557925808601,27,1
failover,1,1557925808608,30,1
failover,1,1557925808608,23,1
failover,1,1557925808619,75,1
failover,1,1557925808642,32,0
failover,1,1557925808644,41,0
failover,1,1557925808645,34,0
failover,1,1557925808667,21,0
failover,1,1557925808674,28,0
failover,1,1557925808679,34,0
failover,1,1557925811591,2923,0
failover,1,1557925811596,2916,0
failover,1,1557925811633,3013,0
failover,1,1557925811643,2968,0
failover,1,1557925811673,3056,0
failover,1,1557925811747,145,0
failover,1,1557925811770,178,0
failover,1,1557925811772,127,0
failover,1,1557925811795,121,0
failover,1,1557925811803,169,0
parachute-avg-first,47560,1557925811907,25,0
parachute-avg-last,47560,1557926061914,25,0
restore,1,1557926061915,23,0
restore,1,1557926061927,923,0
restore,1,1557926061932,18,0
restore,1,1557926061934,19,0
restore,1,1557926061935,98,0
restore,1,1557926061938,22,0
restore,1,1557926062187,251,0
restore,1,1557926062190,257,0
restore,1,1557926062204,276,0
restore,1,1557926062226,287,0
restore,1,1557926062227,290,0
post-avg-first,11671,1557926062394,44,0
post-avg-last,11671,1557926168484,44,0
