Label,#Samples,timeStamp,(Average) Response Time,Error (in %)
monolith-avg-first,25615,1557924675299,33,0
monolith-avg-last,25615,1557924853222,33,0
failover,1,1557924853223,36,0
failover,1,1557924853232,38,0
failover,1,1557924853233,42,0
failover,1,1557924853238,14,0
failover,1,1557924853245,114,0
failover,1,1557924853242,18,1
failover,1,1557924853279,33,0
failover,1,1557924853282,34,0
failover,1,1557924853302,22,0
failover,1,1557924853306,23,0
failover,1,1557924853313,74,0
failover,1,1557924853324,21,0
failover,1,1557924853352,27,0
failover,1,1557924853373,19,0
failover,1,1557924853403,29,0
failover,1,1557924853425,21,0
failover,1,1557924853447,21,0
failover,1,1557924853469,21,0
failover,1,1557924853509,24,0
failover,1,1557924853528,18,0
failover,1,1557924853587,58,0
failover,1,1557924853625,37,0
failover,1,1557924853647,21,0
failover,1,1557924853686,38,0
failover,1,1557924853711,24,0
failover,1,1557924853733,21,0
failover,1,1557924853753,19,0
failover,1,1557924853775,21,0
failover,1,1557924853796,20,0
failover,1,1557924853818,22,0
failover,1,1557924853845,26,0
failover,1,1557924853865,19,0
failover,1,1557924853884,18,0
failover,1,1557924853907,22,0
failover,1,1557924853944,36,0
failover,1,1557924853962,17,0
failover,1,1557924853983,20,0
failover,1,1557924854006,22,0
failover,1,1557924854047,40,0
failover,1,1557924854072,21,0
failover,1,1557924854093,20,0
failover,1,1557924854111,17,0
failover,1,1557924854134,22,0
failover,1,1557924854154,19,0
failover,1,1557924854177,22,0
failover,1,1557924854216,38,0
failover,1,1557924854238,21,0
failover,1,1557924854256,17,0
failover,1,1557924854279,22,0
failover,1,1557924854299,19,0
failover,1,1557924854322,22,0
failover,1,1557924854344,21,0
failover,1,1557924854370,25,0
failover,1,1557924854397,26,0
failover,1,1557924854421,23,0
failover,1,1557924854441,19,0
failover,1,1557924854463,21,0
failover,1,1557924854481,17,0
failover,1,1557924854510,28,0
failover,1,1557924854530,19,0
failover,1,1557924854558,27,0
failover,1,1557924854581,22,0
failover,1,1557924854602,20,0
failover,1,1557924854625,22,0
failover,1,1557924854644,18,0
failover,1,1557924854666,21,0
failover,1,1557924854685,18,0
failover,1,1557924854704,18,0
failover,1,1557924854732,22,0
failover,1,1557924854763,25,0
failover,1,1557924854790,26,0
failover,1,1557924854810,18,0
failover,1,1557924854834,23,0
failover,1,1557924854854,19,0
failover,1,1557924854879,24,0
failover,1,1557924854900,20,0
failover,1,1557924854919,18,0
failover,1,1557924854949,29,0
failover,1,1557924854971,21,0
failover,1,1557924854991,19,0
failover,1,1557924855012,20,0
failover,1,1557924855033,20,0
failover,1,1557924855056,22,0
failover,1,1557924855079,22,0
failover,1,1557924855103,23,0
failover,1,1557924855125,21,0
failover,1,1557924855166,40,0
failover,1,1557924855186,18,0
failover,1,1557924855216,29,0
failover,1,1557924855247,30,0
failover,1,1557924855274,26,0
failover,1,1557924855349,74,0
failover,1,1557924855370,20,0
failover,1,1557924855395,24,0
failover,1,1557924855426,30,0
failover,1,1557924855445,18,0
failover,1,1557924855485,39,0
failover,1,1557924855509,23,0
failover,1,1557924855534,24,0
failover,1,1557924855557,22,0
failover,1,1557924855581,23,0
failover,1,1557924855604,22,0
failover,1,1557924855628,23,0
failover,1,1557924855666,37,0
failover,1,1557924855688,21,0
failover,1,1557924855711,22,0
failover,1,1557924855734,22,0
failover,1,1557924855753,18,0
failover,1,1557924855774,20,0
failover,1,1557924855792,17,0
failover,1,1557924855812,19,0
failover,1,1557924855846,33,0
failover,1,1557924855870,23,0
failover,1,1557924855889,18,0
failover,1,1557924855914,24,0
failover,1,1557924855934,19,0
failover,1,1557924855956,21,0
failover,1,1557924855978,21,0
failover,1,1557924855998,19,0
failover,1,1557924856022,20,0
failover,1,1557924856043,20,0
failover,1,1557924856072,22,0
failover,1,1557924856094,21,0
failover,1,1557924856118,22,0
failover,1,1557924856140,21,0
failover,1,1557924856166,2852,0
failover,1,1557924856164,23,0
failover,1,1557924856190,2883,0
failover,1,1557924856191,21,0
failover,1,1557924856211,20,0
failover,1,1557924856235,23,0
failover,1,1557924856253,3019,0
failover,1,1557924856257,21,0
failover,1,1557924856274,20,0
failover,1,1557924856296,21,0
failover,1,1557924856319,22,0
failover,1,1557924856344,24,0
failover,1,1557924856345,178,0
failover,1,1557924856349,157,0
failover,1,1557924856370,20,0
failover,1,1557924856388,3154,0
parachute-avg-first,45473,1557924853352,25,0
parachute-avg-last,45473,1557925095994,25,0
restore,1,1557925095995,22,0
restore,1,1557925096007,18,0
restore,1,1557925096013,18,0
restore,1,1557925096015,19,0
restore,1,1557925096019,25,0
restore,1,1557925096026,1020,0
restore,1,1557925096029,21,0
restore,1,1557925096035,19,0
restore,1,1557925096036,16,0
restore,1,1557925096053,39,0
restore,1,1557925096281,254,0
restore,1,1557925096283,246,0
restore,1,1557925096332,295,0
restore,1,1557925096334,280,0
restore,1,1557925096352,322,0
post-avg-first,12062,1557925096515,44,0
post-avg-last,12062,1557925206546,44,0
